,New South Wales DT PENALTY,Victoria DT PENALTY,Queensland DT PENALTY,South Australia  DT PENALTY,Western Australia DT PENALTY,Tasmania DT PENALTY,Northern Territory DT PENALTY,Australian Capital Territory DT PENALTY
MAPE,16.082605786799235,5.6452692104046465,19.684795579986233,24.08106371304041,31.347163959474795,17.500425405050155,65.89649465878308,58.24871078649401
MSE,0.023656257747284092,0.011144114882732386,0.020638229335225855,0.027283071094446547,0.05835840578447203,0.019036633187098896,0.08211221535007263,0.019065288741266104
MAE,0.022744277593705516,0.008946919945906719,0.019440840443472416,0.025141743689242293,0.057849277983519784,0.016313544840107573,0.07581802472585801,0.014612902286864583
