,New South Wales DT PENALTY,Victoria DT PENALTY,Queensland DT PENALTY,South Australia  DT PENALTY,Western Australia DT PENALTY,Tasmania DT PENALTY,Northern Territory DT PENALTY,Australian Capital Territory DT PENALTY
MAPE,1607872.7261178307,1454830.0081736415,41512.25705690877,4322971.2407273725,8882.081861492754,1448670.7123228523,11984.144232477354,3855149.642913199
MSE,2992.351153723274,2687.721288817484,45.27222360358882,5891.595144424419,17.27168905292446,1826.3565908126177,14.9590218572249,2144.9680490946103
MAE,2280.0858243569114,2056.8297859620207,40.20693559237394,4345.863244383259,16.195081085906438,1402.6496265505061,13.94619203398431,1582.9973593248933
