,New South Wales DT PENALTY,Victoria DT PENALTY,Queensland DT PENALTY,South Australia  DT PENALTY,Western Australia DT PENALTY,Tasmania DT PENALTY,Northern Territory DT PENALTY,Australian Capital Territory DT PENALTY
MAPE,8.082077016737616,19.441423570026604,22.05366866880949,48.25149147745344,39.0473878749093,42.54580959162673,43.13395000111853,105.89737411327363
MSE,0.01308707429604608,0.033420710130593334,0.024732797438419187,0.053520885774590535,0.07319392713599612,0.04515373121915463,0.05599036974477676,0.03190757468084354
MAE,0.011379257037737983,0.027759836144514403,0.02110485835334661,0.05088024329244571,0.07178247300792126,0.039524959776737145,0.0474558804476551,0.030143383831428297
